system,SOD,nPRN,vtec_1,vtec_2,vtec_3,stec_1,stec_2,stec_3,roti_1,roti_2,roti_3,ipplat_1,ipplat_2,ipplat_3,ipplon_1,ipplon_2,ipplon_3
QZS,43771,3,-69.18469764425143,-55.561086615696226,-52.509900131298195,-65.45305056072732,-46.53318175833105,-46.19220695001827,0.04008042740291586,0.03102462243915748,0.09240772488907688,20.561915334525448,18.897779260642732,17.59240262036855,101.74360901132879,102.2615377502163,101.07403776641759
QZS,43801,3,-69.14525462845621,-55.548942915765664,-52.42555738631903,-65.3990171933333,-46.538693112522346,-46.08744176396224,0.039761615073446645,0.02446229670143953,0.1081986353211793,20.559322308185266,18.903135474206586,17.592392966200244,101.74476012902991,102.25641538424729,101.07403652081025
QZS,43831,3,-69.10407999703615,-55.55552182141716,-52.311123209315824,-65.34259429989356,-46.570116218759075,-45.94530551271924,0.02439986716522331,0.02599427895837083,0.0508444033038867,20.55671469043993,18.908480371091105,17.592383300000442,101.74590639097607,102.25130863423944,101.07403527243983
QZS,43861,3,-69.06556616379324,-55.51729101039959,-52.19683394086622,-65.28990979131981,-46.53918125607837,-45.8033490399064,0.018010291903044623,0.02614128133154771,0.04924132847247968,20.554092502161243,18.913814007750254,17.592373621815906,101.74704776278125,102.24621747640691,101.07403402130136
QZS,43891,3,-69.04319752716741,-55.51765054118242,-52.04625698467767,-65.25977139516482,-46.56174015196988,-45.616326198420104,0.015036881853369275,0.023864895038400807,0.06002507862319672,20.551455764444196,18.919136440322553,17.592363931693427,101.74818421024297,102.24114188702251,101.0740327673899
QZS,43921,3,-69.01318565786848,-55.48938028745889,-51.95324617845099,-65.21899576149553,-46.54447407651518,-45.50079536168537,0.0076616511469919674,0.038795165973467015,0.047308301795902,20.548804498607353,18.924447724629232,17.59235422967986,101.74931569934286,102.23608184242084,101.07403151070054
QZS,43951,3,-68.96104782727352,-55.49175675947579,-51.88082075819787,-65.14738801136468,-46.569602334726405,-45.41082967713968,0.012170580463244065,0.03959940162871122,0.0503579066779234,20.546138726192254,18.929747916173778,17.59234451582212,101.75044219624756,102.23103731900004,101.07403025122831
QZS,43981,3,-68.90790275125836,-55.44208789635209,-51.794109949826364,-65.07440571978077,-46.52253185303156,-45.30312261489963,0.01747918500712277,0.04266626055570296,0.0076678937918059,20.54345846896287,18.935037070143636,17.592334790167175,101.75156366730965,102.22600829322174,101.0740289889684
QZS,44011,3,-68.83287251642159,-55.42661547971085,-51.729308377862324,-64.97093808512295,-46.522750271098666,-45.22262485610316,0.011852359081752766,0.03855896764687065,0.04578332475195302,20.54076374890421,18.940315241410527,17.592325052762053,101.75268007906874,102.22099474161199,101.07402772391586
QZS,44041,3,-68.8001736945178,-55.39417488704597,-51.651193936168454,-64.92652685496307,-46.499407649997956,-45.125593497482946,0.02148102801180978,0.019610282679266674,0.03964735410446103,20.538054588220056,18.945582484532235,17.592315303653844,101.75379139825328,102.2159966407612,101.07402645606577
QZS,44071,3,-68.75405768044075,-55.34483452617901,-51.534805699331116,-64.86343654178972,-46.452645533428985,-44.9810290805573,0.028166266386497447,0.02462759905079463,0.05035846424050428,20.535331009333756,18.950838853753165,17.59230554288969,101.75489759178052,102.21101396732479,101.07402518541329
QZS,44101,3,-68.66180477008137,-55.31212330119989,-51.47168024846189,-64.73606109457643,-46.428814826616,-44.90261254052451,0.02540610431455712,0.011205408288096826,0.048879053167890416,20.532593034886677,18.956084403002915,17.592295770516785,101.75599862675817,102.20604669802593,101.07402391195359
QZS,44131,3,-68.5932456484916,-55.25410304800373,-51.367157218063035,-64.6417531940732,-46.3699896815015,-44.77278341852699,0.028180183690545542,0.025489260199054606,0.05026227516959993,20.52984068773602,18.96131918590116,17.592285986582375,101.75709447048548,102.20109480965225,101.07402263568177
QZS,44161,3,-68.54477320525693,-55.247084244282114,-51.27314407518969,-64.5754768461722,-46.38148751859243,-44.65600656919114,0.03541069776078013,0.022930618307231174,0.04247688276985688,20.527073990954626,18.966543255756147,17.59227619113377,101.75818509045419,102.1961582790587,101.07402135659301
